"taxonID"	"gbifNameUsage"	"gbifStatus"	"threatStatusGlobal"
"13b70c70-421f-4bcc-9e78-b4b757f041b3"	"Begonia glabra Aubl."	"ACCEPTED"	
"fd6b62df-8ab3-41fc-a9b9-44b304d5f5cd"	"Begonia hirtella Link"	"ACCEPTED"	
"73d281be-3542-4735-a115-1c26399aff37"	"Begonia humilis Dryand."	"SYNONYM"	
"a25be2f0-031a-4d69-8a56-626cc90a0ed4"	"Begonia seychellensis Hemsl."	"SYNONYM"	"VU"
"51a7a3c6-0345-42ef-a113-64ce772b5a50"	"Begonia ulmifolia Willd."	"ACCEPTED"	
"4093515"	"Bignonia magnifica W.Bull"	"ACCEPTED"	
"4bf198be-c957-4d3b-8544-062cc148ad54"	"Colea seychellarum Seem."	"ACCEPTED"	"EN"
"82ed5e0f-6250-41a1-85a2-51838b81370b"	"Crescentia alata Kunth"	"ACCEPTED"	
"b1ff0ca9-61ba-4865-ba75-1fb08762a295"	"Crescentia cujete L."	"ACCEPTED"	
"60670a71-800c-4ae9-847f-e8bab5149884"	"Dolichandra uncata (Andr.) L.G.Lohmann"	"ACCEPTED"	
"44be06ee-d492-4b3b-b5b9-602701043b4e"	"Dolichandra unguis-cati (L.) L.G.Lohmann"	"ACCEPTED"	
"6818a435-5efd-4063-80f0-4a2a0f9f6181"	"Jacaranda mimosifolia D.Don"	"ACCEPTED"	
"dabc89af-d4a6-4b5c-96ae-868323516aac"	"Mansoa alliacea (Desv. ex Beauv.) A.H.Gentry"	"ACCEPTED"	
"aad54639-f7c6-45bb-8996-3d1981aa7ef5"	"Millingtonia hortensis L.fil."	"ACCEPTED"	
"bde18741-3fe9-46ba-b1f9-63b605968a6c"	"Pandorea pandorana (Andr.) Steenis"	"ACCEPTED"	
"20200407211524"	"Podranea ricasoliana (Tanfani) Sprague"	"ACCEPTED"	
